basis_id,degree_id,tex_label,beta_c1,beta_c2,beta_c3,parity,index_in_parity,basis_status,parity_source,provenance_kind,provenance_note,computation_hash
2a_12.even.001,2a_12,2a_{12},2,2,0,even,1,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,3620071b847b3152
2a_12.even.002,2a_12,2a_{12},2,2,0,even,2,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,188efa5c1549ed45
2a_12.even.003,2a_12,2a_{12},2,2,0,even,3,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,a5ffd33ce4b1b06d
2a_12.even.004,2a_12,2a_{12},2,2,0,even,4,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,471bec5ab7d9c524
2a_12.even.005,2a_12,2a_{12},2,2,0,even,5,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,8eedc8a41b264942
2a_12.even.006,2a_12,2a_{12},2,2,0,even,6,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,380310e150d20100
2a_12.even.007,2a_12,2a_{12},2,2,0,even,7,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,fe8dafd4cfea6f62
2a_12.even.008,2a_12,2a_{12},2,2,0,even,8,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,d1c1aad9966bf5c1
2a_12.even.009,2a_12,2a_{12},2,2,0,even,9,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,ae619271deb3cccd
2a_12.even.010,2a_12,2a_{12},2,2,0,even,10,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,5c7c90e717314a08
2a_13.even.001,2a_13,2a_{13},2,0,2,even,1,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,0ee5d3233eea4f36
2a_13.even.002,2a_13,2a_{13},2,0,2,even,2,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,581bb94cda78ca73
2a_13.even.003,2a_13,2a_{13},2,0,2,even,3,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,4a0c4705e3280b9c
2a_13.even.004,2a_13,2a_{13},2,0,2,even,4,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,966c09c584bfc0b6
2a_13.even.005,2a_13,2a_{13},2,0,2,even,5,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,0097491347b01dbb
2a_13.even.006,2a_13,2a_{13},2,0,2,even,6,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,fd9ac99792413a64
2a_13.even.007,2a_13,2a_{13},2,0,2,even,7,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,c2d26c40a4f26405
2a_13.even.008,2a_13,2a_{13},2,0,2,even,8,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,32d6a445142bb8ec
2a_13.even.009,2a_13,2a_{13},2,0,2,even,9,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,db25175735336524
2a_13.even.010,2a_13,2a_{13},2,0,2,even,10,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,171817bb47328f6a
2a_23.even.001,2a_23,2a_{23},0,2,2,even,1,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,3839310402c2018c
2a_23.even.002,2a_23,2a_{23},0,2,2,even,2,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,67f4a0a6ccd1aa69
2a_23.even.003,2a_23,2a_{23},0,2,2,even,3,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,1b6cfa5238e7108d
2a_23.even.004,2a_23,2a_{23},0,2,2,even,4,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,71d6c2f89956a3c3
2a_23.even.005,2a_23,2a_{23},0,2,2,even,5,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,3425adb6f9eafc85
2a_23.even.006,2a_23,2a_{23},0,2,2,even,6,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,25adecd3a8b1093f
2a_23.even.007,2a_23,2a_{23},0,2,2,even,7,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,bcb143629cf88512
2a_23.even.008,2a_23,2a_{23},0,2,2,even,8,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,b6507b419e6c8048
2a_23.even.009,2a_23,2a_{23},0,2,2,even,9,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,45ab40dd578269a7
2a_23.even.010,2a_23,2a_{23},0,2,2,even,10,target_reference_basis,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,07daab4e562f41ce
C_1_3.even.001,C_1_3,"C_{1,3}",3,1,1,even,1,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",1eaab51156c76853
C_1_3.even.002,C_1_3,"C_{1,3}",3,1,1,even,2,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",d8a0ce33265b4178
C_1_3.even.003,C_1_3,"C_{1,3}",3,1,1,even,3,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",be0f35f055416c58
C_1_3.even.004,C_1_3,"C_{1,3}",3,1,1,even,4,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5bbf8fd06f6ac853
C_1_3.even.005,C_1_3,"C_{1,3}",3,1,1,even,5,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",2b4132e3b913f72a
C_1_3.even.006,C_1_3,"C_{1,3}",3,1,1,even,6,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",77e75386f67d5bf6
C_1_3.even.007,C_1_3,"C_{1,3}",3,1,1,even,7,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",6704c606c302de9d
C_1_3.even.008,C_1_3,"C_{1,3}",3,1,1,even,8,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",2a1036a345132c8b
C_1_3.even.009,C_1_3,"C_{1,3}",3,1,1,even,9,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5fe22ff0949f432a
C_1_3.even.010,C_1_3,"C_{1,3}",3,1,1,even,10,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",8966e06cb878d7c5
C_1_3.even.011,C_1_3,"C_{1,3}",3,1,1,even,11,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",ad1cb6684156ff7d
C_1_3.even.012,C_1_3,"C_{1,3}",3,1,1,even,12,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",1d947f3f71dd9a39
C_1_3.even.013,C_1_3,"C_{1,3}",3,1,1,even,13,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",535b9d01919d7475
C_1_3.even.014,C_1_3,"C_{1,3}",3,1,1,even,14,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",f7fba5e3a80c6ad3
C_1_3.even.015,C_1_3,"C_{1,3}",3,1,1,even,15,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",a9bacd4058b49b09
C_1_3.even.016,C_1_3,"C_{1,3}",3,1,1,even,16,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",753b50cc674ebfc5
C_1_3.even.017,C_1_3,"C_{1,3}",3,1,1,even,17,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",4f3a5349e9e0eefe
C_1_3.even.018,C_1_3,"C_{1,3}",3,1,1,even,18,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",728528652fb6be37
C_1_3.even.019,C_1_3,"C_{1,3}",3,1,1,even,19,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",c592be62782dfebd
C_1_3.even.020,C_1_3,"C_{1,3}",3,1,1,even,20,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",bebad59188d635c0
C_1_3.even.021,C_1_3,"C_{1,3}",3,1,1,even,21,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",024b72f068a5b185
C_1_3.even.022,C_1_3,"C_{1,3}",3,1,1,even,22,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",d1f7f7c0d49becfa
C_1_3.even.023,C_1_3,"C_{1,3}",3,1,1,even,23,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",b3b9ec074efd3b92
C_1_3.even.024,C_1_3,"C_{1,3}",3,1,1,even,24,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",a3d56c0704cf1c71
C_1_3.even.025,C_1_3,"C_{1,3}",3,1,1,even,25,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",20932d627f474c45
C_1_3.even.026,C_1_3,"C_{1,3}",3,1,1,even,26,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",467e4029b8cc4593
C_1_3.even.027,C_1_3,"C_{1,3}",3,1,1,even,27,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",cdc52856c7e066eb
C_1_3.even.028,C_1_3,"C_{1,3}",3,1,1,even,28,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",87e342ab603e225d
C_1_3.even.029,C_1_3,"C_{1,3}",3,1,1,even,29,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",8e96084fd37d2660
C_1_3.odd.001,C_1_3,"C_{1,3}",3,1,1,odd,1,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",c6db29b7b257f491
C_1_3.odd.002,C_1_3,"C_{1,3}",3,1,1,odd,2,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5e8291dd6a21b66b
C_1_3.odd.003,C_1_3,"C_{1,3}",3,1,1,odd,3,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",0d530a7378a19b7e
C_1_3.odd.004,C_1_3,"C_{1,3}",3,1,1,odd,4,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",a6ddedd4fab13627
C_1_3.odd.005,C_1_3,"C_{1,3}",3,1,1,odd,5,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",8f4787848441f04f
C_1_3.odd.006,C_1_3,"C_{1,3}",3,1,1,odd,6,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",c37b9c6f7db75839
C_1_3.odd.007,C_1_3,"C_{1,3}",3,1,1,odd,7,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",bd2909b886ab04c3
C_1_3.odd.008,C_1_3,"C_{1,3}",3,1,1,odd,8,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",ac747b31ae064fb9
C_1_3.odd.009,C_1_3,"C_{1,3}",3,1,1,odd,9,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",775dcac620cd5cf8
C_1_3.odd.010,C_1_3,"C_{1,3}",3,1,1,odd,10,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",a49da77337ee4251
C_1_3.odd.011,C_1_3,"C_{1,3}",3,1,1,odd,11,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",db933541923d9326
C_1_3.odd.012,C_1_3,"C_{1,3}",3,1,1,odd,12,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",cc098f42dba896dc
C_1_3.odd.013,C_1_3,"C_{1,3}",3,1,1,odd,13,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",6935712eabb1941c
C_1_3.odd.014,C_1_3,"C_{1,3}",3,1,1,odd,14,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",2b08cc3eca9e6192
C_1_3.odd.015,C_1_3,"C_{1,3}",3,1,1,odd,15,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",86046b175ea2137a
C_1_3.odd.016,C_1_3,"C_{1,3}",3,1,1,odd,16,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",9ab21153a8e760c8
C_1_3.odd.017,C_1_3,"C_{1,3}",3,1,1,odd,17,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",022ce1078b2632bb
C_1_3.odd.018,C_1_3,"C_{1,3}",3,1,1,odd,18,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",54494345ce7c0c09
C_1_3.odd.019,C_1_3,"C_{1,3}",3,1,1,odd,19,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5686ba8f69bb23e5
C_1_3.odd.020,C_1_3,"C_{1,3}",3,1,1,odd,20,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",87646658d3c86ae4
C_1_3.odd.021,C_1_3,"C_{1,3}",3,1,1,odd,21,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",0d7fc6b35b97654f
C_1_3.odd.022,C_1_3,"C_{1,3}",3,1,1,odd,22,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",10fa81c0cb5fae4c
C_1_3.odd.023,C_1_3,"C_{1,3}",3,1,1,odd,23,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",9062df375cd03355
C_1_3.odd.024,C_1_3,"C_{1,3}",3,1,1,odd,24,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",df9c791fbdf4565b
C_1_3.odd.025,C_1_3,"C_{1,3}",3,1,1,odd,25,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",72987a7036a1b148
C_1_3.odd.026,C_1_3,"C_{1,3}",3,1,1,odd,26,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",335daf5673c6cb7d
C_1_3.odd.027,C_1_3,"C_{1,3}",3,1,1,odd,27,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",acbad1b2e987d0f1
C_1_3.odd.028,C_1_3,"C_{1,3}",3,1,1,odd,28,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",f35cf0197b823bfa
C_1_3.odd.029,C_1_3,"C_{1,3}",3,1,1,odd,29,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",3cc234ffb492212e
C_1_3.odd.030,C_1_3,"C_{1,3}",3,1,1,odd,30,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",c335def69759af08
C_1_3.odd.031,C_1_3,"C_{1,3}",3,1,1,odd,31,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",e52a9c6166768c57
C_1_3.odd.032,C_1_3,"C_{1,3}",3,1,1,odd,32,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",91e3c5d3d580a294
C_1_3.odd.033,C_1_3,"C_{1,3}",3,1,1,odd,33,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5b8077627983ef43
C_1_3.odd.034,C_1_3,"C_{1,3}",3,1,1,odd,34,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",cb7c148c4f24458f
C_1_3.odd.035,C_1_3,"C_{1,3}",3,1,1,odd,35,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",bb8d8a2381d287bd
C_1_3.odd.036,C_1_3,"C_{1,3}",3,1,1,odd,36,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",eddbe10125d9ee22
C_1_3.odd.037,C_1_3,"C_{1,3}",3,1,1,odd,37,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",f3b6b3a1c9d218e2
C_1_3.odd.038,C_1_3,"C_{1,3}",3,1,1,odd,38,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",81253ccc0482ec14
C_1_3.odd.039,C_1_3,"C_{1,3}",3,1,1,odd,39,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",ca3c83e4358e4ed1
C_1_3.odd.040,C_1_3,"C_{1,3}",3,1,1,odd,40,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",b331613f37bb2cc2
C_1_3.odd.041,C_1_3,"C_{1,3}",3,1,1,odd,41,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",be8787365f90bf48
C_1_3.odd.042,C_1_3,"C_{1,3}",3,1,1,odd,42,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",62fd13c758f9dbf1
C_1_3.odd.043,C_1_3,"C_{1,3}",3,1,1,odd,43,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",66df06c49691a1d8
C_1_3.odd.044,C_1_3,"C_{1,3}",3,1,1,odd,44,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",54415484774651ec
C_1_3.odd.045,C_1_3,"C_{1,3}",3,1,1,odd,45,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",1dd4503e57fe5fe1
C_1_3.odd.046,C_1_3,"C_{1,3}",3,1,1,odd,46,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",5e688d354a4ebc15
C_1_3.odd.047,C_1_3,"C_{1,3}",3,1,1,odd,47,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",b7fdc070797cbdcb
C_1_3.odd.048,C_1_3,"C_{1,3}",3,1,1,odd,48,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",d4f1e6dbfaa91629
C_1_3.odd.049,C_1_3,"C_{1,3}",3,1,1,odd,49,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",0a1d9c6b76735b9b
C_1_3.odd.050,C_1_3,"C_{1,3}",3,1,1,odd,50,target_reference_basis,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93",e162babde55e9719
