relation_id,degree_id,tex_label,relation_kind,relation_status,relation_input,relation_output,parity_effect,parity_source,provenance_kind,provenance_note,citation,computation_hash
rel.2a_12,2a_12,2a_{12},rank_two_affine_null_plus_isotropic_simple,recorded_target_relation,"delta_1,delta_2,a_{12}",2a_{12}:10|0,even,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW; Borcherds GKM presentation conventions",3dca5bb11bb4b7ac
rel.2a_13,2a_13,2a_{13},rank_two_affine_null_plus_isotropic_simple,recorded_target_relation,"delta_1,delta_3,a_{13}",2a_{13}:10|0,even,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW; Borcherds GKM presentation conventions",be240c5d7ef8af31
rel.2a_23,2a_23,2a_{23},rank_two_affine_null_plus_isotropic_simple,recorded_target_relation,"delta_2,delta_3,a_{23}",2a_{23}:10|0,even,gn_kac_base,gn_kac_affine_rank_two,GN isotropic ray tau(2a_ij)=9 plus Kac A1^(1) null-root residual 1,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW; Borcherds GKM presentation conventions",b83f06ed930ed433
rel.C_1_2,C_1_2,"C_{1,2}",blocked_pending_finite_target_reducer,blocked_no_relation_fixture,a_{23}+2delta_1,no parity fixture,not_available,signed_only_blocked,signed_only,signed target data smult=108 and m=90 only; full parity split requires finite target presentation reducer,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",5fff41d0ab6f537b
rel.C_2_2,C_2_2,"C_{2,2}",blocked_pending_finite_target_reducer,blocked_no_relation_fixture,a_{13}+2delta_2,no parity fixture,not_available,signed_only_blocked,signed_only,signed target data smult=108 and m=90 only; full parity split requires finite target presentation reducer,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",86c51898b767c9f1
rel.C_3_2,C_3_2,"C_{3,2}",blocked_pending_finite_target_reducer,blocked_no_relation_fixture,a_{12}+2delta_3,no parity fixture,not_available,signed_only_blocked,signed_only,signed target data smult=108 and m=90 only; full parity split requires finite target presentation reducer,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",dbff563a62aa443f
rel.C_1_3,C_1_3,"C_{1,3}",weyl_transport,recorded_target_relation,delta123:29|93,"C_{1,3}:29|93",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",c9dcdf297aef65ee
rel.C_2_3,C_2_3,"C_{2,3}",weyl_transport,recorded_target_relation,delta123:29|93,"C_{2,3}:29|93",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",d48618c092133b9c
rel.C_3_3,C_3_3,"C_{3,3}",weyl_transport,recorded_target_relation,delta123:29|93,"C_{3,3}:29|93",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_delta123,"even real-root Weyl transport s_k(delta123)=C_{k,3}; parity preserved from delta123:29|93","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",f2f89670ba958efa
rel.C_1_4,C_1_4,"C_{1,4}",weyl_transport,recorded_target_relation,a_{23}:10|0,"C_{1,4}:10|0",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_a_ij,"even real-root Weyl transport s_k(a_ij)=C_{k,4}; parity preserved from a_ij:10|0","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",528b75606d4f5304
rel.C_2_4,C_2_4,"C_{2,4}",weyl_transport,recorded_target_relation,a_{13}:10|0,"C_{2,4}:10|0",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_a_ij,"even real-root Weyl transport s_k(a_ij)=C_{k,4}; parity preserved from a_ij:10|0","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",4f3d49ea47a7e53c
rel.C_3_4,C_3_4,"C_{3,4}",weyl_transport,recorded_target_relation,a_{12}:10|0,"C_{3,4}:10|0",parity_preserving_even_real_reflection,weyl_transport,weyl_transport_from_a_ij,"even real-root Weyl transport s_k(a_ij)=C_{k,4}; parity preserved from a_ij:10|0","GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",9d5e5f28efe8c02b
rel.2delta123,2delta123,2delta123,blocked_pending_finite_target_reducer,blocked_no_relation_fixture,2delta123,no parity fixture,not_available,signed_only_blocked,signed_only,signed target data smult=4016 and m=-540 only; full parity split requires finite target presentation reducer,"GN Sections 3--4, Proposition 3.1; Kac 1990 real-root Weyl action, root strings, PBW",19255fc472bd08d4
rel.C_1_5,C_1_5,"C_{1,5}",real_root_string_terminal_zero,recorded_target_relation,a_{23}+5delta_1,"C_{1,5}:0|0",terminal_zero,serre_zero,kac_root_string_terminal,"Kac real-root string through a_ij in the delta_k direction terminates at C_{k,4}; C_{k,5} is zero","Kac 1990 real-root Weyl action, root strings, PBW; GN Sections 3--4, Proposition 3.1",20ebfd816ba2f033
rel.C_2_5,C_2_5,"C_{2,5}",real_root_string_terminal_zero,recorded_target_relation,a_{13}+5delta_2,"C_{2,5}:0|0",terminal_zero,serre_zero,kac_root_string_terminal,"Kac real-root string through a_ij in the delta_k direction terminates at C_{k,4}; C_{k,5} is zero","Kac 1990 real-root Weyl action, root strings, PBW; GN Sections 3--4, Proposition 3.1",6b6e2ab3d2a1852a
rel.C_3_5,C_3_5,"C_{3,5}",real_root_string_terminal_zero,recorded_target_relation,a_{12}+5delta_3,"C_{3,5}:0|0",terminal_zero,serre_zero,kac_root_string_terminal,"Kac real-root string through a_ij in the delta_k direction terminates at C_{k,4}; C_{k,5} is zero","Kac 1990 real-root Weyl action, root strings, PBW; GN Sections 3--4, Proposition 3.1",de8d95039b1e2b8c
